N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
715568,652006,259.7181147,0,1,2,"[8.0, 7.285714286]","[8.669876139, 8.127878338]","[9.402031336, 9.060501192]","[10.20257487, 10.09302779]","[11.07822925, 11.23587591]","[12.03639221, 12.50053539]","[13.08520485, 13.89967722]","[14.23362666, 15.4472736]","[15.49151807, 17.15872999]","[16.86973119, 19.05103029]","[18.38020965, 21.14289636]","[20.03609833, 23.45496342]","[21.85186398, 26.00997256]","[23.84342775, 28.83298213]"
1730107,639725,4164.44245,1,0,1,"[0.857142857, 0.857142857]","[1.006790132, 0.974402676]","[1.181339942, 1.108926834]","[1.384851147, 1.263365353]","[1.622037902, 1.440783867]","[1.898374988, 1.644729504]","[2.220219992, 1.879307219]","[2.594955085, 2.149268299]","[3.031151559, 2.460112982]","[3.538760593, 2.818209344]","[4.12933476, 3.230931218]","[4.816284736, 3.706817936]","[5.615177376, 4.255759656]","[6.544081121, 4.889211973]"
1386221,1759459,1215.884541,1,0,1,"[1.142857143, 1.142857143]","[1.34385412, 1.231583804]","[1.569170885, 1.330874879]","[1.821732921, 1.442000877]","[2.104817498, 1.56638511]","[2.422095988, 1.70562207]","[2.777681207, 1.861498005]","[3.176180461, 2.036013969]","[3.622754987, 2.231411654]","[4.123186491, 2.450202309]","[4.683951671, 2.695199136]","[5.312305676, 2.96955357]","[6.016375597, 3.276795936]","[6.805265143, 3.620880962]"
628142,1697000,3224.070861,0,1,2,"[0.285714286, 0.428571429]","[0.303847795, 0.478351663]","[0.324779354, 0.53354795]","[0.348775456, 0.5947696]","[0.376134796, 0.662693295]","[0.407191699, 0.738070601]","[0.442319945, 0.821736316]","[0.481937029, 0.914617748]","[0.526508898, 1.01774502]","[0.576555219, 1.132262518]","[0.632655246, 1.259441614]","[0.695454344, 1.400694803]","[0.765671235, 1.557591402]","[0.844106069, 1.731875002]"
1382636,1002022,4117.606191,0,1,2,"[6.428571429, 3.428571429]","[6.498636735, 4.299469687]","[6.598034491, 5.230836889]","[6.728620203, 6.229382075]","[6.892465467, 7.302413807]","[7.091876881, 8.457898666]","[7.329416828, 9.704525232]","[7.607926282, 11.051774]","[7.93054983, 12.5099938]","[8.300763121, 14.09048534]","[8.722402949, 15.80559247]","[9.199700238, 17.66880201]","[9.737316172, 19.69485274]","[10.34038177, 21.89985454]"
1620148,648264,4119.874191,0,1,2,"[2.0, 7.428571429]","[2.394605408, 8.198184113]","[2.833538918, 9.05650836]","[3.321887703, 10.01370352]","[3.865321424, 11.08109036]","[4.470158791, 12.27128334]","[5.143441626, 13.59833764]","[5.893017399, 15.07791291]","[6.727631097, 16.72745534]","[7.657027469, 18.56640014]","[8.692064839, 20.61639654]","[9.844841771, 22.90155801]","[11.12883801, 25.44874017]","[12.55907122, 28.28784943]"
1707125,917174,1773.628049,0,1,2,"[0.571428571, 0.428571429]","[0.677230493, 0.540917397]","[0.80465391, 0.678649152]","[0.95826673, 0.84729153]","[1.143611824, 1.053558944]","[1.367415735, 1.305610674]","[1.637842093, 1.613360869]","[1.964799328, 1.988854983]","[2.360314267, 2.446726848]","[2.838985762, 3.004753645]","[3.418535442, 3.684529682]","[4.120476377, 4.512284395]","[4.970924867, 5.519875324]","[6.00158593, 6.745993414]"
756148,1540617,269.4075316,0,1,2,"[7.285714286, 2.571428571]","[7.291436609, 3.155260768]","[7.356912507, 3.758756946]","[7.482040228, 4.386656554]","[7.6672079, 5.043848197]","[7.91329138, 5.735408021]","[8.221656101, 6.466639225]","[8.594162892, 7.243112968]","[9.033177758, 8.070711022]","[9.541585671, 8.955670466]","[10.12280842, 9.904630779]","[10.7808266, 10.92468367]","[11.52020595, 12.02342601]","[12.34612802, 13.20901631]"
643280,1762671,1920.200019,1,0,1,"[4.714285714, 1.142857143]","[4.735771765, 1.25754152]","[4.764503242, 1.37389822]","[4.800507397, 1.492102545]","[4.843822592, 1.612332232]","[4.894498327, 1.734767705]","[4.952595292, 1.859592364]","[5.018185427, 1.986992836]","[5.09135201, 2.117159282]","[5.172189746, 2.250285645]","[5.260804898, 2.38656998]","[5.3573154, 2.526214698]","[5.461851032, 2.669426924]","[5.574553557, 2.816418737]"
1697444,1417953,2580.943396,0,1,2,"[7.857142857, 5.571428571]","[7.717515642, 6.417643101]","[7.62369264, 7.331264288]","[7.576460326, 8.320266243]","[7.576930976, 9.393353282]","[7.626559729, 10.56003821]","[7.727164372, 11.83072817]","[7.880948059, 13.21681877]","[8.090525184, 14.73079739]","[8.358950679, 16.38635647]","[8.689753023, 18.19851796]","[9.086971265, 20.18376986]","[9.555196434, 22.36021619]","[10.09961771, 24.74774163]"
