N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
802259,1299922,285.3044811,0,1,2,"[4.428571429, 3.285714286]","[4.263679414, 3.981784072]","[4.180217705, 4.79147523]","[4.180047996, 5.736652563]","[4.266846589, 6.842963339]","[4.446260728, 8.140536688]","[4.726112685, 9.66480656]","[5.116657941, 11.45748071]","[5.630905046, 13.56768172]","[6.285006464, 16.05329101]","[7.098731594, 18.98253266]","[8.096034979, 22.43583857]","[9.305735522, 26.50804577]","[10.76232549, 31.31098485]"
1719331,776008,1793.372953,1,0,1,"[1.428571429, 1.857142857]","[1.740319365, 2.011178242]","[2.096719094, 2.18997583]","[2.504416679, 2.397176967]","[2.97104307, 2.636963278]","[3.505360066, 2.914136724]","[4.117427824, 3.23421147]","[4.818797288, 3.603519413]","[5.622730887, 4.029331218]","[6.544456132, 4.519995382]","[7.601456398, 5.085097689]","[8.813804973, 5.735644381]","[10.20454823, 6.484272251]","[11.80014535, 7.345489724]"
1319081,1421269,3188.734547,1,0,1,"[3.0, 1.428571429]","[3.207002061, 1.591880263]","[3.429893231, 1.763724091]","[3.669793372, 1.94492674]","[3.927906736, 2.136360697]","[4.205527984, 2.338951334]","[4.504048647, 2.553681411]","[4.824964074, 2.78159586]","[5.169880877, 3.023806892]","[5.540524942, 3.28149944]","[5.938750034, 3.555936969]","[6.366547, 3.848467675]","[6.82605367, 4.1605311]","[7.31956547, 4.493665212]"
1266108,1739645,937.1689974,1,0,1,"[6.285714286, 7.571428571]","[6.990287956, 7.251444143]","[7.726217481, 6.964740619]","[8.496830436, 6.709987396]","[9.305609213, 6.486000326]","[10.15620664, 6.291736202]","[11.05246233, 6.126287896]","[11.99841986, 5.988880109]","[12.99834479, 5.878865721]","[14.05674372, 5.795722717]","[15.17838443, 5.739051689]","[16.36831694, 5.708573913]","[17.63189597, 5.704129933]","[18.97480475, 5.725678701]"
776454,1412002,3216.519043,1,0,1,"[2.428571429, 5.714285714]","[2.838547708, 5.362972474]","[3.282085182, 5.063551951]","[3.764113573, 4.813456964]","[4.290010425, 4.610604229]","[4.865661063, 4.45337773]","[5.497524423, 4.340616712]","[6.192705371, 4.271608274]","[6.959034363, 4.246084489]","[7.805155321, 4.264224086]","[8.740622685, 4.326658731]","[9.776008702, 4.434484035]","[10.92302213, 4.589275432]","[12.19463968, 4.79310913]"
1778740,1019043,2358.254682,1,0,1,"[5.714285714, 0.571428571]","[6.555409943, 1.044783527]","[7.532436094, 1.547043296]","[8.665837281, 2.087859796]","[9.979333834, 2.677783709]","[11.50038808, 3.328473089]","[13.26077662, 4.052926225]","[15.2972518, 4.865743422]","[17.65230589, 5.783422823]","[20.37505409, 6.824696566]","[23.52225345, 8.010913562]","[27.15947992, 9.366477247]","[31.36248547, 10.91934643]","[36.218765, 12.70161016]"
1791167,1253453,1088.569953,1,0,1,"[6.285714286, 0.285714286]","[6.505172065, 0.829308778]","[6.747869317, 1.378637347]","[7.014753154, 1.93559264]","[7.306857638, 2.502103128]","[7.625307721, 3.08013982]","[7.97132353, 3.671723138]","[8.346224972, 4.278929997]","[8.751436715, 4.903901106]","[9.188493532, 5.548848524]","[9.659046078, 6.216063522]","[10.16486703, 6.907924677]","[10.70785766, 7.626906326]","[11.29005499, 8.375587437]"
1426352,1111557,1697.743521,1,0,1,"[8.142857143, 2.571428571]","[9.130065136, 3.163446828]","[10.24422779, 3.822404686]","[11.50142396, 4.557065827]","[12.91977419, 5.377298126]","[14.51969903, 6.294213713]","[16.32421023, 7.320326859]","[18.35923811, 8.469731542]","[20.65400055, 9.75830157]","[23.24141805, 11.20391575]","[26.15858067, 12.82671123]","[29.4472736, 14.64936879]","[33.15456839, 16.69743373]","[37.3334874, 18.99967673]"
1386344,1025427,3392.505197,1,0,1,"[4.571428571, 7.857142857]","[5.58553595, 7.98901223]","[6.728213399, 8.151118461]","[8.01656227, 8.347286466]","[9.469944658, 8.581849815]","[11.11028169, 8.859717892]","[12.96239133, 9.186451974]","[15.05437003, 9.568351226]","[17.41802497, 10.01255013]","[20.08936255, 10.52712864]","[23.1091406, 11.12123679]","[26.52349296, 11.80523571]","[30.38463535, 12.59085711]","[34.75166255, 13.49138353]"
1298990,834727,1492.579987,1,0,1,"[3.142857143, 4.857142857]","[3.362258558, 4.650820904]","[3.579982591, 4.48624276]","[3.797293004, 4.358953899]","[4.015342134, 4.265076461]","[4.23518643, 4.201239499]","[4.457800172, 4.164517808]","[4.684087572, 4.152378351]","[4.914893467, 4.162633345]","[5.151012787, 4.193399158]","[5.393198941, 4.243060336]","[5.642171271, 4.310238107]","[5.898621677, 4.393762819]","[6.16322054, 4.492649844]"
1031330,656628,1511.309995,0,1,2,"[8.428571429, 4.0]","[9.690471658, 5.314356964]","[11.16764399, 6.893620807]","[12.89829318, 8.786824846]","[14.92747117, 11.05188111]","[17.30830468, 13.75717368]","[20.10344191, 16.98343514]","[23.38675677, 20.82595552]","[27.24535599, 25.39718123]","[31.78194211, 30.82977115]","[37.11759365, 37.28018718]","[43.39503473, 44.93290945]","[50.78247769, 54.00537987]","[59.47813594, 64.75379307]"
1195018,938998,689.1968906,0,1,2,"[4.571428571, 7.285714286]","[4.829204172, 7.809298858]","[5.112565964, 8.365863983]","[5.422190737, 8.958095064]","[5.758950784, 9.588803833]","[6.123906729, 10.26094491]","[6.518302686, 10.97763239]","[6.94356352, 11.74215663]","[7.401294025, 12.55800129]","[7.893279858, 13.4288609]","[8.421490068, 14.35865892]","[8.988081147, 15.35156655]","[9.595402545, 16.41202243]","[10.24600348, 17.54475298]"
