N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
646960,1540517,599.2211252,0,1,2,"[0.714285714, 7.0]","[0.921729082, 6.956531408]","[1.135830037, 6.929732257]","[1.35726803, 6.91988258]","[1.586755145, 6.927311005]","[1.825038563, 6.952396596]","[2.072903175, 6.995570851]","[2.331174324, 7.057319875]","[2.600720722, 7.138186733]","[2.882457531, 7.238773999]","[3.177349623, 7.359746509]","[3.486415009, 7.501834303]","[3.810728497, 7.665835809]","[4.151425582, 7.852621294]"
739804,852958,590.6672029,1,0,1,"[8.285714286, 7.0]","[8.907640725, 6.720964167]","[9.509656602, 6.505569692]","[10.09692078, 6.346025673]","[10.67397381, 6.23564494]","[11.24482605, 6.168693882]","[11.81303377, 6.140262976]","[12.38176496, 6.146155039]","[12.95385623, 6.182788904]","[13.53186207, 6.247116365]","[14.11809739, 6.336550567]","[14.71467443, 6.448904276]","[15.32353476, 6.582336671]","[15.94647698, 6.735307489]"
1094736,694838,216.7224885,0,1,2,"[4.0, 7.285714286]","[4.336335599, 7.773211187]","[4.697976809, 8.296558214]","[5.086806806, 8.858414983]","[5.504848525, 9.461638118]","[5.954275006, 10.10929576]","[6.43742048, 10.80468313]","[6.956792282, 11.55133928]","[7.515083625, 12.35306494]","[8.115187312, 13.2139418]","[8.76021045, 14.13835306]","[9.453490258, 15.13100559]","[10.19861101, 16.19695362]","[10.99942218, 17.34162403]"
1350187,831117,490.231488,1,0,1,"[6.857142857, 3.857142857]","[7.552100166, 3.861342841]","[8.307795368, 3.899948514]","[9.130384715, 3.97297521]","[10.02656089, 4.080744817]","[11.00360723, 4.223885653]","[12.06945661, 4.403335049]","[13.23275555, 4.620344651]","[14.50293383, 4.876488449]","[15.89028043, 5.173673579]","[17.4060262, 5.514153948]","[19.06243393, 5.900546798]","[20.87289659, 6.335852286]","[22.85204442, 6.823476241]"
1578474,1448702,594.4227373,0,1,2,"[1.571428571, 5.857142857]","[1.866205767, 6.360837172]","[2.197333151, 6.918001408]","[2.569017472, 7.534631705]","[2.985946036, 8.21740446]","[3.453341442, 8.973753644]","[3.97702248, 9.811956831]","[4.563471959, 10.74123098]","[5.219912266, 11.77183915]","[5.954389453, 12.91520918]","[6.775866858, 14.18406586]","[7.694329336, 15.59257801]","[8.720899284, 17.1565222]","[9.867965807, 18.89346491]"
723594,1134329,378.4991042,1,0,1,"[8.0, 4.142857143]","[8.777098231, 4.602326074]","[9.631535248, 5.109076753]","[10.57105047, 5.667885098]","[11.60415735, 6.284006559]","[12.74022045, 6.963224059]","[13.9895401, 7.71190072]","[15.36344543, 8.537037794]","[16.87439645, 9.44633834]","[18.53609619, 10.4482772]","[20.36361375, 11.55217789]","[22.37351934, 12.76829705]","[24.58403243, 14.10791725]","[27.01518423, 15.58344881]"
1576417,620012,642.0745515,0,1,2,"[7.571428571, 8.0]","[7.028430746, 9.916035282]","[6.603155366, 12.14169176]","[6.293019421, 14.73993346]","[6.097703052, 17.78482453]","[6.019262478, 21.36364668]","[6.062297895, 25.57939568]","[6.234182511, 30.55372539]","[6.545360369, 36.43041886]","[7.009722334, 43.3794793]","[7.645071303, 51.60194619]","[8.47369018, 61.33556155]","[9.523028382, 72.86142696]","[10.82652497, 86.51180798]"
1587340,697718,259.5544356,1,0,1,"[2.285714286, 0.142857143]","[2.317484197, 0.215903422]","[2.351912938, 0.290814049]","[2.389090427, 0.367694244]","[2.429110936, 0.446653285]","[2.472073269, 0.527804687]","[2.51808095, 0.611266402]","[2.567242417, 0.69716101]","[2.619671221, 0.785615931]","[2.675486241, 0.876763642]","[2.734811906, 0.970741901]","[2.797778422, 1.06769398]","[2.864522019, 1.167768919]","[2.935185188, 1.271121767]"
1453375,637660,395.7272677,0,1,2,"[0.142857143, 4.428571429]","[0.545422776, 4.631899133]","[0.947657053, 4.85675419]","[1.351565083, 5.104091681]","[1.759144919, 5.374971077]","[2.172397522, 5.670560667]","[2.593336681, 5.99214249]","[3.023998895, 6.341117782]","[3.466453283, 6.719012962]","[3.922811584, 7.127486179]","[4.395238288, 7.568334463]","[4.885960964, 8.04350151]","[5.397280749, 8.555086075]","[5.931583142, 9.105351067]"
1782901,1390692,188.4237897,0,1,2,"[2.285714286, 1.285714286]","[2.165480463, 1.539564335]","[2.062711775, 1.823727113]","[1.977199516, 2.14292463]","[1.908913654, 2.502512838]","[1.858011916, 2.908573838]","[1.824851412, 3.368020956]","[1.810003064, 3.888718423]","[1.814269131, 4.479617739]","[1.838704214, 5.150913251]","[1.884640115, 5.91421936]","[1.953715043, 6.782772623]","[2.047907744, 7.771662346]","[2.169577118, 8.898093344]"
