N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
1024836,1391759,3208.401008,0,1,2,"[1.428571429, 8.0]","[1.478083455, 8.264071401]","[1.528973453, 8.537029431]","[1.581319038, 8.819150308]","[1.63519647, 9.110721455]","[1.690681056, 9.412041601]","[1.747847594, 9.723420925]","[1.806770649, 10.04518123]","[1.867524961, 10.37765613]","[1.930185634, 10.7211913]","[1.994828497, 11.07614474]","[2.061530265, 11.44288702]","[2.130368799, 11.82180159]","[2.201423325, 12.21328516]"
1789015,1109001,2145.127362,0,1,2,"[5.571428571, 7.857142857]","[5.829176824, 8.777589675]","[6.113376199, 9.77491786]","[6.426282025, 10.85592671]","[6.770348178, 12.02800887]","[7.148244406, 13.29920204]","[7.562875151, 14.67824503]","[8.017400015, 16.17463871]","[8.515255992, 17.79871224]","[9.060181628, 19.56169485]","[9.656243271, 21.47579388]","[10.30786359, 23.55427942]","[11.01985253, 25.81157619]","[11.79744101, 28.2633632]"
917903,1765238,506.8205995,1,0,1,"[3.571428571, 1.0]","[3.777185082, 1.005084569]","[3.993176103, 1.015962757]","[4.220080524, 1.032342484]","[4.45860142, 1.05398313]","[4.709468811, 1.080690884]","[4.973442407, 1.112314674]","[5.25131436, 1.148742601]","[5.543912047, 1.189898835]","[5.85210088, 1.23574092]","[6.176787176, 1.286257455]","[6.518921093, 1.341466083]","[6.879499663, 1.401411803]","[7.259569871, 1.466165557]"
1287683,739111,4881.608878,0,1,2,"[2.571428571, 7.571428571]","[2.887313361, 8.067441623]","[3.215476523, 8.604928097]","[3.557750531, 9.186488396]","[3.916022021, 9.814950184]","[4.292242569, 10.4933817]","[4.688439643, 11.22510627]","[5.10672783, 12.01371815]","[5.54932037, 12.86309969]","[6.018541087, 13.77743992]","[6.516836786, 14.76125474]","[7.046790116, 15.81940861]","[7.61113304, 16.9571379]","[8.212760956, 18.18007617]"
1040102,946906,1765.77227,1,0,1,"[6.857142857, 4.285714286]","[7.724368167, 4.370106469]","[8.666950105, 4.474445577]","[9.692374713, 4.600208793]","[10.80883257, 4.749030183]","[12.02528615, 4.922715074]","[13.35154351, 5.12325583]","[14.79833893, 5.352849132]","[16.37742109, 5.613914919]","[18.10164954, 5.909117134]","[19.98510016, 6.241386442]","[22.04318049, 6.613945114]","[24.29275575, 7.030334259]","[26.75228662, 7.494443634]"
922348,1388924,3144.86821,0,1,2,"[4.0, 5.142857143]","[4.53172233, 6.215020922]","[5.163698754, 7.487669111]","[5.91470028, 8.998342373]","[6.80701092, 10.79160621]","[7.867084355, 12.92036364]","[9.126323012, 15.44741248]","[10.62200223, 18.44729234]","[12.39836638, 22.00847494]","[14.50792859, 26.23596091]","[17.01301181, 31.25435786]","[19.98757486, 37.211527]","[23.51937606, 44.28290229]","[27.71253557, 52.6766038]"
859019,1467684,2256.44184,1,0,1,"[6.857142857, 6.0]","[8.10513358, 5.602672329]","[9.483007203, 5.287195595]","[11.01230311, 5.04933473]","[12.71696668, 4.885995705]","[14.62372164, 4.795185885]","[16.76248614, 4.775990589]","[19.16683784, 4.828565651]","[21.8745357, 4.954145898]","[24.92810619, 5.155069737]","[28.37550199, 5.434820274]","[32.27084318, 5.798083596]","[36.67525211, 6.250825173]","[41.65779315, 6.800385461]"
1086456,1455636,4100.061466,0,1,2,"[5.0, 4.142857143]","[5.689212909, 4.940051358]","[6.490753526, 5.869701509]","[7.423117302, 6.953642343]","[8.507845036, 8.217304346]","[9.770023613, 9.690305107]","[11.23886895, 11.40713778]","[12.94840435, 13.40797226]","[14.93824977, 15.73958748]","[17.25454047, 18.45645659]","[19.95099504, 21.62200862]","[23.09015801, 25.31009669]","[26.7448442, 29.60670475]","[30.99981738, 34.61193143]"
834942,1137924,4170.16815,0,1,2,"[5.428571429, 5.857142857]","[5.260300407, 6.680187377]","[5.148708341, 7.571162538]","[5.092384708, 8.539284535]","[5.090512589, 9.594552765]","[5.142857537, 10.74785264]","[5.249762646, 12.0110673]","[5.412149762, 13.39719932]","[5.631526809, 14.92050359]","[5.910001255, 16.59663281]","[6.250299863, 18.44279691]","[6.655794846, 20.47793805]","[7.130536712, 22.72292284]","[7.679294057, 25.20075369]"
1625665,1650994,3859.233987,1,0,1,"[3.0, 0.428571429]","[3.15341013, 0.549911657]","[3.316787879, 0.675864286]","[3.490710802, 0.806781339]","[3.675791707, 0.943033874]","[3.872680751, 1.08501318]","[4.082067663, 1.233132049]","[4.304684096, 1.387826119]","[4.541306127, 1.549555297]","[4.79275691, 1.718805274]","[5.05990947, 1.896089109]","[5.343689666, 2.081948922]","[5.645079371, 2.276957689]","[5.965119793, 2.481721138]"
1429486,842030,2101.969382,1,0,1,"[7.857142857, 7.0]","[9.015577613, 7.599602183]","[10.31176256, 8.275239263]","[11.76242894, 9.036082197]","[13.38633272, 9.892412636]","[15.20449886, 10.85575698]","[17.24049506, 11.93903653]","[19.52073832, 13.15673571]","[22.07483813, 14.52509032]","[24.93598052, 16.06229833]","[28.14135807, 17.78875581]","[31.73265109, 19.72732099]","[35.75656576, 21.90360961]","[40.26543592, 24.34632522]"
1629065,1377318,3816.940674,0,1,2,"[3.285714286, 2.571428571]","[3.301143704, 2.817910503]","[3.335036076, 3.064516061]","[3.386353948, 3.312692932]","[3.454232259, 3.563800991]","[3.537961672, 3.819126205]","[3.636973951, 4.079893169]","[3.750829135, 4.347276442]","[3.879204334, 4.622410827]","[4.021883959, 4.906400726]","[4.178751269, 5.200328675]","[4.349781042, 5.505263177]","[4.53503327, 5.822265947]","[4.734647754, 6.152398656]"
1051763,895131,4083.346598,0,1,2,"[0.428571429, 3.428571429]","[0.8081628, 4.085863972]","[1.27470531, 4.879535643]","[1.846628671, 5.838162201]","[2.546233162, 6.996311075]","[3.400500995, 8.395796447]","[4.442077378, 10.08719653]","[5.710456667, 12.13168757]","[7.253416262, 14.60326023]","[9.128749656, 17.59139737]","[11.40636057, 21.20430844]","[14.17079275, 25.57283451]","[17.52428497, 30.85516122]","[21.59045896, 37.24250349]"
1531706,1130220,1248.803079,1,0,1,"[4.0, 1.428571429]","[4.028460089, 1.542270874]","[4.063500409, 1.653110474]","[4.104846662, 1.76146177]","[4.152251519, 1.867671866]","[4.205492713, 1.972065403]","[4.264371281, 2.074946388]","[4.328709934, 2.176599888]","[4.398351592, 2.27729357]","[4.473157994, 2.377279162]","[4.553008418, 2.476793809]","[4.637798575, 2.576061252]","[4.727439465, 2.675293057]","[4.821856468, 2.774689594]"
