center_diagonal_value,rows,attempt_count,yes_count,yes_ratio
6,1000,2425,267,0.267
7,1000,1734,567,0.567
8,1000,1351,844,0.844
9,1000,1176,1000,1.0
10,1000,1065,1000,1.0
11,1000,1005,1000,1.0
12,1000,1000,1000,1.0
13,1000,1041,1000,1.0
14,1000,1154,1000,1.0
15,1000,1274,1000,1.0
