center_diagonal_value,rows,attempt_count,yes_count,yes_ratio
6,1000,1366,727,0.727
7,1000,1320,900,0.9
8,1000,1276,973,0.973
9,1000,1300,999,0.999
10,1000,1316,1000,1.0
11,1000,1359,1000,1.0
12,1000,1404,1000,1.0
13,1000,1562,1000,1.0
14,1000,1809,1000,1.0
15,1000,2151,1000,1.0
