center_diagonal_value,rows,attempt_count,yes_count,yes_ratio
6,1000,1014,1000,1.0
7,1000,1016,1000,1.0
8,1000,1042,1000,1.0
9,1000,1103,1000,1.0
10,1000,1184,1000,1.0
11,1000,1318,1000,1.0
12,1000,1513,1000,1.0
13,1000,1723,1000,1.0
14,1000,1979,1000,1.0
15,1000,2320,1000,1.0
