N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
1122726,655253,1603.352284,0,1,2,"[2.0, 3.571428571]","[2.182874198, 3.871795188]","[2.380039563, 4.198321391]","[2.592861616, 4.553182869]","[2.822806277, 4.938746915]","[3.071450162, 5.357588036]","[3.340491566, 5.812504934]","[3.631762205, 6.306539008]","[3.947239791, 6.842994459]","[4.289061535, 7.425460152]","[4.659538678, 8.057833362]","[5.061172118, 8.744345537]","[5.49666928, 9.489590291]","[5.968962301, 10.29855375]"
956664,1044757,352.7641932,0,1,2,"[7.0, 7.428571429]","[7.701281846, 8.131554496]","[8.470251917, 8.902233397]","[9.313428252, 9.747126649]","[10.23795539, 10.67337939]","[11.25166433, 11.6888234]","[12.36313825, 12.80204283]","[13.58178443, 14.02244613]","[14.91791295, 15.36034491]","[16.38282288, 16.8270401]","[17.98889658, 18.43491637]","[19.74970285, 20.19754539]","[21.68010982, 22.1297988]","[23.79640836, 24.24797183]"
1124778,1295221,712.0561643,0,1,2,"[2.285714286, 4.571428571]","[2.591744074, 5.25610113]","[2.943358581, 6.042151256]","[3.347308155, 6.944593897]","[3.811342583, 7.980666437]","[4.344358915, 9.170157203]","[4.956571076, 10.53578236]","[5.659704583, 12.10361847]","[6.467219822, 13.90359844]","[7.394568371, 15.97008065]","[8.459486909, 18.34250144]","[9.682334349, 21.06612325]","[11.08647863, 24.19289266]","[12.69873981, 27.78242285]"
1225808,703628,856.9499568,1,0,1,"[0.285714286, 7.857142857]","[0.946984964, 7.609643997]","[1.637764409, 7.406317998]","[2.363863896, 7.247287549]","[3.13154056, 7.132986425]","[3.947556094, 7.064173246]","[4.819240902, 7.041947941]","[5.754564381, 7.067771132]","[6.762212044, 7.143486682]","[7.85167017, 7.271347643]","[9.033318848, 7.454045911]","[10.31853435, 7.694745913]","[11.71980182, 7.997122696]","[13.25083935, 8.365404807]"
812943,1419665,1885.567552,1,0,1,"[3.0, 3.571428571]","[3.67357046, 3.86958529]","[4.445750721, 4.236818981]","[5.333626502, 4.683132911]","[6.357036595, 5.220271396]","[7.539029185, 5.861999587]","[8.906392725, 6.624429669]","[10.49027322, 7.526400832]","[12.32689227, 8.589921945]","[14.45838219, 9.840687126]","[16.9337565, 11.30867561]","[19.81003887, 13.02885034]","[23.15357401, 15.04197016]","[27.04155168, 17.39553497]"
1260082,1461849,776.9991334,1,0,1,"[2.571428571, 5.285714286]","[3.662931623, 5.378015449]","[4.971772638, 5.511808626]","[6.543858042, 5.695330397]","[8.434724703, 5.938557359]","[10.71155904, 6.253571032]","[13.45563813, 6.65499921]","[16.76528061, 7.160549717]","[20.75941292, 7.791655829]","[25.58187807, 8.574256605]","[31.40663983, 9.539740129]","[38.44406569, 10.72608341]","[46.94850855, 12.1792295]","[57.22745013, 13.95475076]"
1324740,1343615,726.3482681,1,0,1,"[3.428571429, 8.142857143]","[4.637255476, 9.098935335]","[6.100247308, 10.23955767]","[7.869547993, 11.60221934]","[10.00776305, 13.2320592]","[12.59026147, 15.1834164]","[15.70777284, 17.52170328]","[19.46951076, 20.32565813]","[24.00692836, 23.69005451]","[29.47823236, 27.72895864]","[36.07380704, 32.57964465]","[44.02272833, 38.40729867]","[53.60058324, 45.41066821]","[65.13884989, 53.82884318]"
1373115,665754,441.3308007,1,0,1,"[6.142857143, 1.0]","[6.3001321, 1.270446912]","[6.471452148, 1.552453273]","[6.657555855, 1.84681225]","[6.859228156, 2.15436212]","[7.077303064, 2.475989007]","[7.312666549, 2.812629771]","[7.566259581, 3.165275072]","[7.839081354, 3.534972602]","[8.132192722, 3.922830536]","[8.446719811, 4.33002115]","[8.783857843, 4.757784655]","[9.144875213, 5.207433274]","[9.531117825, 5.680355577]"
1295048,1329150,1495.221531,1,0,1,"[1.428571429, 2.285714286]","[1.581906444, 2.328659344]","[1.738821555, 2.375093243]","[1.899558378, 2.425111151]","[2.064365909, 2.47881388]","[2.233500912, 2.536308073]","[2.407228332, 2.597706399]","[2.585821736, 2.663127765]","[2.769563724, 2.73269752]","[2.958746431, 2.806547702]","[3.153671951, 2.884817247]","[3.354652885, 2.967652274]","[3.562012787, 3.055206307]","[3.776086769, 3.147640585]"
601148,1093751,1474.212888,1,0,1,"[5.142857143, 3.714285714]","[5.586930185, 3.581501084]","[6.04204999, 3.47234832]","[6.510108409, 3.385330591]","[6.992987963, 3.319123784]","[7.492571773, 3.272562859]","[8.010753088, 3.244629556]","[8.549444476, 3.234441329]","[9.110586734, 3.241241425]","[9.696157571, 3.264389999]","[10.30818011, 3.303356174]","[10.9487313, 3.357710967]","[11.61995021, 3.427120988]","[12.32404633, 3.511342943]"
1681464,1615303,1890.622256,0,1,2,"[8.428571429, 6.285714286]","[8.848026493, 8.16093747]","[9.46004125, 10.36530722]","[10.29457974, 12.96964055]","[11.38841936, 16.05872025]","[12.78646419, 19.7341433]","[14.54332814, 24.11773978]","[16.72524143, 29.35567599]","[19.41234465, 35.62337827]","[22.70144712, 43.13144006]","[26.70934143, 52.13270644]","[31.57678375, 62.93076699]","[37.47327061, 75.89013168]","[44.6027672, 91.44841439]"
