N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
1657505,1077288,2377.802619,0,1,2,"[4.714285714, 2.857142857]","[4.586794523, 3.444451984]","[4.498131701, 4.064908326]","[4.447758822, 4.724055613]","[4.435464461, 5.427802929]","[4.461364245, 6.182477603]","[4.525903696, 6.994881992]","[4.629863941, 7.872354631]","[4.774370318, 8.822836308]","[4.960903998, 9.854941629]","[5.191316711, 10.97803672]","[5.46784873, 12.20232373]","[5.793150275, 13.53893293]","[6.170306542, 15.00002312]"
631684,1069192,586.9412292,0,1,2,"[5.142857143, 2.714285714]","[5.732398883, 3.566939769]","[6.427172793, 4.616032421]","[7.249032957, 5.904681641]","[8.224530554, 7.485377871]","[9.385929422, 9.422015026]","[10.7724409, 11.79236012]","[12.431725, 14.69105565]","[14.42171506, 18.23326882]","[16.81283479, 22.55912543]","[19.69069139, 27.83909538]","[23.15934544, 34.28053078]","[27.34527913, 42.13559903]","[32.40220912, 51.71090198]"
781577,1256030,1478.0563,0,1,2,"[1.857142857, 2.0]","[1.733705528, 2.183516047]","[1.625780107, 2.377083951]","[1.532181932, 2.581768366]","[1.451859121, 2.79868139]","[1.383881544, 3.028988956]","[1.327430942, 3.273917415]","[1.281792109, 3.534760359]","[1.246345027, 3.812885707]","[1.220557894, 4.109743117]","[1.203980946, 4.426871746]","[1.196241036, 4.765908416]","[1.197036886, 5.128596227]","[1.206134978, 5.516793651]"
1333559,1654139,1014.86137,1,0,1,"[3.0, 1.285714286]","[3.001418474, 1.368073483]","[3.004858056, 1.441557981]","[3.010078829, 1.5072853]","[3.016870934, 1.566233324]","[3.02505082, 1.619257751]","[3.034457949, 1.667107367]","[3.044951924, 1.710437408]","[3.056409971, 1.749821257]","[3.068724736, 1.785760674]","[3.081802358, 1.818694748]","[3.095560784, 1.849007728]","[3.109928294, 1.877035883]","[3.124842204, 1.903073509]"
844097,1560611,1165.351986,0,1,2,"[3.285714286, 5.428571429]","[3.544163098, 6.007301353]","[3.833080594, 6.643624348]","[4.155346765, 7.343481194]","[4.514146812, 8.113413277]","[4.913001503, 8.960623801]","[5.355800635, 9.893045219]","[5.846839927, 10.91941346]","[6.390861667, 12.04934968]","[6.993099499, 13.2934502]","[7.659327748, 14.66338556]","[8.395915761, 16.17200952]","[9.209887728, 17.83347908]","[10.10898856, 19.66338641]"
1778857,1682979,2199.868958,1,0,1,"[8.428571429, 0.857142857]","[9.819076647, 1.731793426]","[11.51362519, 2.764527391]","[13.57530355, 3.989281651]","[16.08039592, 5.44705358]","[19.12113764, 7.187376221]","[22.80904156, 9.270100706]","[27.27891588, 11.76754962]","[32.69371613, 14.76711812]","[39.25040294, 18.37441515]","[47.18701167, 22.71705603]","[56.79118139, 27.94924004]","[68.41043936, 34.25727338]","[82.46459531, 41.86622974]"
710243,1416625,1133.200404,1,0,1,"[1.857142857, 2.714285714]","[2.203314776, 2.675983417]","[2.567347174, 2.659505096]","[2.952200736, 2.664710009]","[3.361004607, 2.691634091]","[3.797081754, 2.740490172]","[4.26397588, 2.811669634]","[4.765480108, 2.905745514]","[5.305667663, 3.02347708]","[5.888924792, 3.165815914]","[6.519986186, 3.33391355]","[7.203973183, 3.529130727]","[7.946435049, 3.75304833]","[8.753393668, 4.007480095]"
1244849,955655,1865.750078,1,0,1,"[5.142857143, 3.0]","[5.781250365, 3.465192084]","[6.507803583, 3.997407872]","[7.334955141, 4.606178815]","[8.276904396, 5.302387848]","[9.34986081, 6.098460614]","[10.57232837, 7.008583825]","[11.96542987, 8.048954195]","[13.55327717, 9.238062741]","[15.36339318, 10.5970187]","[17.4271936, 12.14991943]","[19.78053593, 13.92427187]","[22.46434538, 15.95147315]","[25.52532893, 18.26735877]"
962928,1417500,1233.6118,0,1,2,"[7.857142857, 2.571428571]","[8.75142772, 3.186413359]","[9.758293296, 3.915364535]","[10.89313092, 4.777611929]","[12.17355958, 5.795637996]","[13.61975952, 6.995581955]","[15.2548567, 8.40782354]","[17.10536593, 10.06765901]","[19.2017014, 12.01608342]","[21.57876517, 14.30069601]","[24.27662557, 16.97674799]","[27.34129841, 20.10835378]","[30.825648, 23.76989264]","[34.79042409, 28.04762749]"
745950,894731,1944.79272,0,1,2,"[3.285714286, 4.571428571]","[3.723232393, 5.688113665]","[4.25744598, 7.063718869]","[4.910638659, 8.758077436]","[5.710239593, 10.84483579]","[6.690010362, 13.4146368]","[7.8915048, 16.57903355]","[9.365864176, 20.47530004]","[11.17602418, 25.27234165]","[13.39942727, 31.17795376]","[16.13135461, 38.44773045]","[19.48901719, 47.39599038]","[23.61657572, 58.40916454]","[28.69129538, 71.96218209]"
