N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
1247764,1147813,257.0903804,0,1,2,"[0.571428571, 3.857142857]","[0.82392699, 4.344916597]","[1.105933352, 4.900443759]","[1.421620709, 5.532945347]","[1.77572779, 6.252901868]","[2.173636287, 7.072225024]","[2.621458653, 8.004452729]","[3.126137841, 9.064970618]","[3.695560628, 10.27126367]","[4.338686319, 11.64320197]","[5.065692903, 13.20336505]","[5.888143155, 14.97741047]","[6.819173068, 16.9944918]","[7.87370599, 19.28773339]"
1784541,1043074,415.9242647,1,0,1,"[7.285714286, 6.0]","[8.503080192, 6.23629634]","[9.901561588, 6.535959522]","[11.50891407, 6.907535625]","[13.35710963, 7.360916083]","[15.48297768, 7.907540437]","[17.92894259, 8.560629773]","[20.74387354, 9.335455805]","[23.98406173, 10.24965043]","[27.7143462, 11.32356255]","[32.00940791, 12.58066834]","[36.95525951, 14.04804391]","[42.65095811, 15.75690885]","[49.21057384, 17.74325147]"
638643,605481,89.08440778,1,0,1,"[0.428571429, 6.0]","[0.87526913, 5.606928075]","[1.351665742, 5.286303831]","[1.866198499, 5.03579275]","[2.428198551, 4.854059305]","[3.048067177, 4.740782347]","[3.737474772, 4.696686682]","[4.509586557, 4.723591918]","[5.379319161, 4.82447988]","[6.363633499, 5.003582385]","[7.481869091, 5.266491277]","[8.756127114, 5.620293403]","[10.21170876, 6.073733156]","[11.8776184, 6.637406364]"
1435770,1166527,787.4902681,0,1,2,"[8.285714286, 3.714285714]","[7.887744425, 4.029616291]","[7.539170493, 4.337933692]","[7.235831615, 4.640636627]","[6.973966923, 4.939019214]","[6.750178941, 5.234281512]","[6.561400371, 5.527539116]","[6.404863977, 5.819831881]","[6.278075281, 6.112131877]","[6.178787796, 6.405350631]","[6.104980565, 6.700345739]","[6.054837853, 6.997926873]","[6.026730717, 7.298861281]","[6.01920029, 7.603878813]"
1090798,785411,902.1996452,0,1,2,"[0.142857143, 3.285714286]","[0.226925892, 3.609661009]","[0.320782065, 3.970715397]","[0.4255501, 4.373138174]","[0.54248354, 4.821678963]","[0.672979841, 5.321632297]","[0.818596879, 5.878900037]","[0.981071344, 6.500060893]","[1.162339247, 7.192447927]","[1.364558759, 7.964234808]","[1.590135668, 8.824531936]","[1.841751754, 9.783493524]","[2.122396386, 10.85243679]","[2.435401731, 12.04397467]"
1184026,1758131,886.0529744,1,0,1,"[7.857142857, 6.571428571]","[8.86458288, 7.356490845]","[9.999139947, 8.24257191]","[11.27691251, 9.242400957]","[12.71603294, 10.37031852]","[14.33692375, 11.6424796]","[16.16258622, 13.07708256]","[18.21892495, 14.69462653]","[20.53511285, 16.51820108]","[23.14400198, 18.57381229]","[26.08258538, 20.89074955]","[29.39251616, 23.50199794]","[33.12069084, 26.44470199]","[37.31990515, 29.76068729]"
1574467,1365117,1202.984531,0,1,2,"[4.571428571, 5.428571429]","[4.502898616, 6.334734089]","[4.459874022, 7.330294929]","[4.443437455, 8.426467199]","[4.454901351, 9.635711941]","[4.495828624, 10.97188467]","[4.568056087, 12.45039871]","[4.673720865, 14.08840713]","[4.81529014, 15.90500532]","[4.995594591, 17.92145669]","[5.217865933, 20.16144408]","[5.485779002, 22.65134962]","[5.803498893, 25.42056645]","[6.175733704, 28.50184566]"
1303640,1784377,901.2220142,1,0,1,"[6.142857143, 3.428571429]","[6.674062284, 3.643553648]","[7.248662032, 3.876543537]","[7.870212799, 4.129014993]","[8.542562006, 4.402562641]","[9.269871826, 4.698911696]","[10.05664485, 5.019928642]","[10.90775186, 5.36763277]","[11.8284618, 5.744208667]","[12.82447424, 6.152019702]","[13.9019544, 6.593622624]","[15.06757101, 7.071783337]","[16.32853727, 7.58949395]","[17.69265502, 8.149991222]"
1758805,1729244,1335.122167,1,0,1,"[7.0, 1.428571429]","[7.928238738, 1.789536623]","[8.993955391, 2.218171859]","[10.21869878, 2.726139089]","[11.62748212, 3.327049597]","[13.24934557, 4.036785831]","[15.11801043, 4.87387602]","[17.27263976, 5.859930226]","[19.75872287, 7.020147936]","[22.62910328, 8.383908565]","[25.94517396, 9.985458709]","[29.77826664, 11.8647118]","[34.21126562, 14.06817788]","[39.34048404, 16.65004568]"
1640328,648408,672.056725,1,0,1,"[5.142857143, 2.142857143]","[5.653344302, 2.294424256]","[6.208338764, 2.461633917]","[6.811963729, 2.645825612]","[7.468713026, 2.848463906]","[8.183484838, 3.071149624]","[8.961618459, 3.315632047]","[9.808934373, 3.583822215]","[10.73177793, 3.877807436]","[11.73706694, 4.199867108]","[12.83234357, 4.552489971]","[14.0258309, 4.938392917]","[15.32649451, 5.360541493]","[16.74410963, 5.82217226]"
